game_id;team_id;team_name;pts_tot;pts_reb;pts_ast;pts_blk;best_at_pts;best_at_reb;best_at_ast;best_at_blk
15882410;24;Phoenix Suns;109;28;24;3;Bradley Beal;Jusuf Nurkic;Devin Booker;Jusuf Nurkic
1037673;14;Los Angeles Lakers;101;40;17;10;Anthony Davis;Anthony Davis;LeBron James;Anthony Davis
1037710;17;Milwaukee Bucks;124;41;23;5;Giannis Antetokounmpo;Giannis Antetokounmpo;Cameron Payne;Brook Lopez
3277482;24;Phoenix Suns;120;38;26;8;Kevin Durant;Jusuf Nurkic;Kevin Durant;Jusuf Nurkic
1038476;14;Los Angeles Lakers;116;55;29;7;D'Angelo Russell;Anthony Davis;LeBron James;Anthony Davis
1037829;17;Milwaukee Bucks;108;52;19;11;Giannis Antetokounmpo;Giannis Antetokounmpo;Giannis Antetokounmpo;Brook Lopez
1038599;17;Milwaukee Bucks;115;40;27;4;Damian Lillard;Giannis Antetokounmpo;Damian Lillard;Giannis Antetokounmpo
1038582;1;Atlanta Hawks;105;42;32;5;Jalen Johnson;Clint Capela;Dejounte Murray;Clint Capela
1038651;24;Phoenix Suns;104;51;29;7;Kevin Durant;Kevin Durant;Devin Booker;Kevin Durant
1038446;24;Phoenix Suns;110;51;20;6;Devin Booker;Jusuf Nurkic;Royce O'Neale;Jusuf Nurkic
1037649;1;Atlanta Hawks;130;57;26;3;Dejounte Murray;Clint Capela;Trae Young;Bogdan Bogdanovic
1037711;1;Atlanta Hawks;120;37;22;7;Trae Young;Clint Capela;Trae Young;Onyeka Okongwu
1037926;17;Milwaukee Bucks;146;49;24;8;Damian Lillard;Bobby Portis;Giannis Antetokounmpo;Brook Lopez
1038369;1;Atlanta Hawks;99;45;23;6;De'Andre Hunter;Bruno Fernando;Trae Young;Jalen Johnson
15882405;24;Phoenix Suns;93;41;19;1;Devin Booker;Jusuf Nurkic;Bradley Beal;Kevin Durant
1037648;17;Milwaukee Bucks;111;29;19;2;Malik Beasley;Bobby Portis;Damian Lillard;Jae Crowder
1037923;14;Los Angeles Lakers;115;43;32;5;LeBron James;Christian Wood;LeBron James;Christian Wood
1037830;1;Atlanta Hawks;103;43;15;4;Trae Young;Saddiq Bey;Trae Young;Clint Capela
3277426;1;Atlanta Hawks;126;41;27;7;Dejounte Murray;Onyeka Okongwu;Dejounte Murray;Clint Capela
1038180;24;Phoenix Suns;123;48;32;3;Devin Booker;Jusuf Nurkic;Jusuf Nurkic;Kevin Durant
1037704;17;Milwaukee Bucks;120;36;19;7;Damian Lillard;Giannis Antetokounmpo;Giannis Antetokounmpo;Brook Lopez
1037898;14;Los Angeles Lakers;125;40;34;4;Anthony Davis;Anthony Davis;LeBron James;Anthony Davis
1038261;14;Los Angeles Lakers;122;37;28;3;Austin Reaves;LeBron James;LeBron James;Max Christie
1038332;14;Los Angeles Lakers;106;39;27;10;Anthony Davis;Anthony Davis;Austin Reaves;Anthony Davis
1038379;24;Phoenix Suns;111;50;28;10;Kevin Durant;Jusuf Nurkic;Jusuf Nurkic;Bol Bol
1038507;17;Milwaukee Bucks;122;43;28;2;Giannis Antetokounmpo;Giannis Antetokounmpo;Giannis Antetokounmpo;Giannis Antetokounmpo
3277504;17;Milwaukee Bucks;131;50;28;6;Brook Lopez;Malik Beasley;Damian Lillard;Brook Lopez
1038146;24;Phoenix Suns;127;41;27;5;Devin Booker;Jusuf Nurkic;Devin Booker;Grayson Allen
1038305;14;Los Angeles Lakers;124;48;36;6;D'Angelo Russell;Anthony Davis;Anthony Davis;Anthony Davis
1038491;17;Milwaukee Bucks;90;34;19;5;Giannis Antetokounmpo;Giannis Antetokounmpo;Giannis Antetokounmpo;Patrick Beverley
1038770;1;Atlanta Hawks;106;40;23;1;Trae Young;Clint Capela;Trae Young;Clint Capela
1038769;14;Los Angeles Lakers;123;39;25;6;LeBron James;Anthony Davis;D'Angelo Russell;Anthony Davis
7981414;17;Milwaukee Bucks;119;46;19;9;Giannis Antetokounmpo;Giannis Antetokounmpo;Damian Lillard;Brook Lopez
1037925;24;Phoenix Suns;122;33;30;3;Kevin Durant;Jusuf Nurkic;Devin Booker;Drew Eubanks
15882415;24;Phoenix Suns;116;33;20;7;Devin Booker;Kevin Durant;Devin Booker;Kevin Durant
1038069;17;Milwaukee Bucks;125;42;27;5;Giannis Antetokounmpo;Giannis Antetokounmpo;Damian Lillard;Brook Lopez
1038113;1;Atlanta Hawks;139;55;32;8;Trae Young;Jalen Johnson;Trae Young;Bruno Fernando
1038120;17;Milwaukee Bucks;135;53;34;6;Bobby Portis;Giannis Antetokounmpo;Khris Middleton;Brook Lopez
1038157;14;Los Angeles Lakers;112;44;31;9;Anthony Davis;Anthony Davis;Austin Reaves;Christian Wood
1038497;24;Phoenix Suns;120;49;28;6;Kevin Durant;Jusuf Nurkic;Bradley Beal;Jusuf Nurkic
1038151;1;Atlanta Hawks;109;56;24;6;Trae Young;Dejounte Murray;Trae Young;Clint Capela
1038653;17;Milwaukee Bucks;100;46;21;4;Giannis Antetokounmpo;Giannis Antetokounmpo;Damian Lillard;Brook Lopez
1038331;24;Phoenix Suns;129;37;37;7;Kevin Durant;Kevin Durant;Grayson Allen;Bol Bol
